Arch,Size,Time (s)
Intel(R) UHD Graphics P630, 32768, 0.00225772
Intel(R) UHD Graphics P630, 65536, 0.00382237
Intel(R) UHD Graphics P630, 131072, 0.00757883
Intel(R) UHD Graphics P630, 262144, 0.0126992
Intel(R) UHD Graphics P630, 524288, 0.0256791
Intel(R) UHD Graphics P630, 1048576, 0.0541116
Intel(R) UHD Graphics P630, 2097152, 0.117382
Intel(R) UHD Graphics P630, 4194304, 0.258707
Intel(R) UHD Graphics P630, 8388608, 0.576276
Intel(R) UHD Graphics P630, 16777216, 1.26016
Intel(R) UHD Graphics P630, 33554432, 2.75215
Intel(R) UHD Graphics P630, 67108864, 5.97445
Intel(R) UHD Graphics P630, 134217728, 13.0105
Intel(R) UHD Graphics P630, 268435456, 28.2309
Intel(R) UHD Graphics P630, 536870912, 60.9349
Intel(R) Iris(R) Xe MAX Graphics, 2, 0.000070376
Intel(R) Iris(R) Xe MAX Graphics, 4, 0.000096087
Intel(R) Iris(R) Xe MAX Graphics, 8, 0.000144726
Intel(R) Iris(R) Xe MAX Graphics, 16, 0.000185733
Intel(R) Iris(R) Xe MAX Graphics, 32, 0.00025251
Intel(R) Iris(R) Xe MAX Graphics, 64, 0.000298301
Intel(R) Iris(R) Xe MAX Graphics, 128, 0.000419993
Intel(R) Iris(R) Xe MAX Graphics, 256, 0.000424961
Intel(R) Iris(R) Xe MAX Graphics, 512, 0.00056896
Intel(R) Iris(R) Xe MAX Graphics, 1024, 0.000824933
Intel(R) Iris(R) Xe MAX Graphics, 2048, 0.000773583
Intel(R) Iris(R) Xe MAX Graphics, 4096, 0.000950685
Intel(R) Iris(R) Xe MAX Graphics, 8192, 0.00102306
Intel(R) Iris(R) Xe MAX Graphics, 16384, 0.00127659
Intel(R) Iris(R) Xe MAX Graphics, 32768, 0.00163464
Intel(R) Iris(R) Xe MAX Graphics, 65536, 0.00224221
Intel(R) Iris(R) Xe MAX Graphics, 131072, 0.00348748
Intel(R) Iris(R) Xe MAX Graphics, 262144, 0.00616026
Intel(R) Iris(R) Xe MAX Graphics, 524288, 0.0114778
Intel(R) Iris(R) Xe MAX Graphics, 1048576, 0.023349
Intel(R) Iris(R) Xe MAX Graphics, 2097152, 0.0499553
Intel(R) Iris(R) Xe MAX Graphics, 4194304, 0.103797
Intel(R) Iris(R) Xe MAX Graphics, 8388608, 0.223406
Intel(R) Iris(R) Xe MAX Graphics, 16777216, 0.483661
Intel(R) Iris(R) Xe MAX Graphics, 33554432, 1.0449
Intel(R) Iris(R) Xe MAX Graphics, 67108864, 2.23895
Intel(R) Iris(R) Xe MAX Graphics, 134217728, 4.77636
Intel(R) Iris(R) Xe MAX Graphics, 268435456, 10.1633
Intel(R) Iris(R) Xe MAX Graphics, 536870912, 21.6346
